ID,Isconfidential,ProjectName,Street,City,State,Zipcode,Country,LEEDSystemVersionDisplayName,PointsAchieved,CertLevel,CertDate,IsCertified,OwnerTypes,GrossFloorArea,UnitOfMeasurement,TotalPropArea,ProjectTypes,OwnerOrganization,RegistrationDate
1000128661,No,901 Cherry Phase II - Buildings 2 and 3,901 Cherry Ave.,San Bruno,CA,94066,US,LEED v4 BD+C: NC,85,Platinum,05/01/2024 00:00,Yes,Corporate: Publicly Traded,293101,Sq ft,0,Office: Administrative/Professional,Google Inc.,06/02/2020 00:00
1000128796,No,Hotel Verdant,500 Main Street,Racine,WI,53403,US,LEED v4 BD+C: NC,60,Gold,09/04/2024 00:00,Yes,Corporate: Privately Held,74365,Sq ft,0,"Lodging: Hotel/Motel/Resort, Full Service","Dominion Properties, LLC",11/02/2020 00:00
1000128902,No,Airbus-Delivery Center Expansion,320 Airbus Way,Mobile,AL,36615,US,LEED v4 BD+C: NC,62,Gold,23/10/2024 00:00,Yes,,29656,Sq ft,0,Office: Administrative/Professional, ,12/02/2020 00:00
1000128927,No,Wolfspeed MVF-FAB ADMIN,5757 Marcy SUNY Parkway,Marcy,NY,13403,US,LEED v4 BD+C: NC,55,Silver,04/06/2024 00:00,Yes,,574013,Sq ft,0,Industrial Manufacturing, ,13/02/2020 00:00
1000128928,No,Wolfspeed MVF-CUB,5757 Marcy SUNY Parkway,Marcy,NY,13403,US,LEED v4 BD+C: NC,56,Silver,04/06/2024 00:00,Yes,,105609,Sq ft,0,Service: Other Service, ,13/02/2020 00:00
1000128976,No,Greater Pittsburgh Food Bank Expansion,1 North Linden Street,Pittsburgh,PA,15110,US,LEED v4 BD+C: NC,62,Gold,16/09/2024 00:00,Yes,Non-Profit (that do not fit into ot,122200,Sq ft,0,Warehouse: Refrigerated,Greater Pittsburgh Community Food Bank,15/02/2020 00:00
1000129049,No,Garvey Hall,620 Michigan Ave NE,Washington,DC,20064,US,LEED v4 BD+C: NC,50,Silver,03/01/2024 00:00,Yes,"Educational: University, Private",34823,Sq ft,0,Public Assembly: Other Assembly,catholic university of america,18/02/2020 00:00
1000129511,No,Four Points by Sheraton Navi Mumbai,"Four Points by Sheraton Navi Mumbai, Vas Plot 39/1, 6 To 15,",Mumbai,Maharashtra,400701,IN,LEED v4.1 O+M: EB,81,Platinum,12/07/2025 00:00,Yes,Corporate: Privately Held,14726.88,Sq m,0,"Lodging: Hotel/Motel/Resort, Full Service",K.Raheja Corp.Pvt.Ltd.,03/03/2020 00:00
1000129542,No,Nuovo Centro Direzionale CDO3 - Veritas,Via Porto di Cavergnago 99,"Mestre, Venezia",VE,30173,IT,LEED v4 BD+C: NC,64,Gold,05/06/2024 00:00,Yes,"Government Use: Other (utility, airport,",4390,Sq m,0,Office: Administrative/Professional,Veritas S.p.A.,04/03/2020 00:00
1000129660,Yes,Confidential,Confidential,Confidential,Shaanxi,Confidential,CN,LEED v4 BD+C: NC,68,Gold,21/08/2024 00:00,Yes,Confidential,67670,Sq m,0,Confidential,Confidential,08/03/2020 00:00
1000129674,No,Bridgestone Warren Plant Recertification,725 Bridgestone Dr,Morrison,TN,37357,US,LEED v4 O+M: EB,54,Silver,04/04/2024 00:00,Yes,Corporate: Publicly Traded,1974692,Sq ft,0,Industrial Manufacturing,Bridgestone Americas Tire Operations,09/03/2020 00:00
1000129706,Yes,Confidential,Confidential,Confidential,FL,Confidential,US,LEED v4 BD+C: NC,60,Gold,29/05/2024 00:00,Yes,Confidential,16500,Sq ft,0,Confidential,Confidential,10/03/2020 00:00
1000129771,No,Aransas National Wildlife Refuge,1 Wildlife Circle,Austwell,TX,77950,US,LEED v4 BD+C: NC,43,Certified,16/09/2024 00:00,Yes,Government Use: Federal,15428,Sq ft,0,Office: Government,U.S. Fish and Wildlife Service,12/03/2020 00:00
1000129774,Yes,Confidential,Confidential,Confidential,FL,Confidential,US,LEED v4 BD+C: NC,61,Gold,28/03/2024 00:00,Yes,Confidential,122350,Sq ft,0,Confidential,Confidential,12/03/2020 00:00
1000129804,No,University of Cincinnati Clifton Court,2800 Clifton Ave,Cincinnati,OH,45221,US,LEED v4 BD+C: NC,53,Silver,09/12/2024 00:00,Yes,"Educational: College, Public",180000,Sq ft,0,Core Learning Space: College/University,University of Cincinnati,13/03/2020 00:00
1000129809,No,MU Clinical Health Sciences,421 S Campus Ave,Oxford,OH,45056,US,LEED v4 BD+C: NC,51,Silver,01/04/2024 00:00,Yes,"Educational: Community College, Public",183611,Sq ft,0,Core Learning Space: College/University,Miami University (Ohio),16/03/2020 00:00
1000130077,No,1701 H Street NE,1701 H Street NE,Washington,DC,20002,US,LEED v4 BD+C: NC,50,Silver,17/01/2024 00:00,Yes,Corporate: Privately Held,157680,Sq ft,0,Multi-Family Residential: Apartment,Grubb Properties,25/03/2020 00:00
1000130115,No,Mann Older Adult Rivera Rec. Center,3201 N 5th St.,Philadelphia,PA,19140,US,LEED v4 BD+C: NC,60,Gold,01/08/2024 00:00,Yes,"Government Use: Local, City",39375,Sq ft,0,Public Assembly: Recreation,"City of Philadelphia, Department of Park",26/03/2020 00:00
1000130117,No,Lucas Hall,10501 FGCU Blvd. South,Fort Myers,FL,33965,US,LEED v4 BD+C: NC,40,Certified,28/03/2024 00:00,Yes,"Educational: University, Public",27000,Sq ft,0,Core Learning Space: College/University,Florida Gulf Coast University,26/03/2020 00:00
1000130144,No,Blacksburg Police Headquarters,"200 Clay Street, SE",Blacksburg,VA,24060,US,LEED v4 BD+C: NC,52,Silver,22/01/2024 00:00,Yes,"Government Use: Local, City",35074,Sq ft,0,Public Order and Safety: Fire/Police Station,Town of Blacksburg,27/03/2020 00:00
1000130152,No,SLCC Juniper Building - Herriman Campus,Real Vista Dr,Bluffdale,UT,84065,US,LEED v4.1 BD+C: NC,65,Gold,18/04/2024 00:00,Yes,"Educational: Community College, Pub",91000,Sq ft,0,Other,Salt Lake Community College,27/03/2020 00:00
1000130386,Yes,Confidential,Confidential,Confidential,FL,Confidential,US,LEED v4 BD+C: NC,60,Gold,02/05/2024 00:00,Yes,Confidential,22500,Sq m,0,Confidential,Confidential,06/04/2020 00:00
1000130394,No,Morningstar at West Valley Memory Care,3924 Williams Road,San Jose,CA,95117,US,LEED v4 BD+C: NC,55,Silver,29/02/2024 00:00,Yes,Corporate: Privately Held,32274,Sq ft,0,Healthcare: Nursing Home/ Assisted Living,"Williams Road Developer, LLC",05/04/2020 00:00
1000130428,Yes,Confidential,Confidential,Confidential,HI,Confidential,US,LEED v4 BD+C: NC,61,Gold,10/06/2024 00:00,Yes,Confidential,66000,Sq ft,0,Confidential,Confidential,06/04/2020 00:00
1000130454,No,District Cooling Plant BB05,"BB Plant 05, 3466859, Business Bay",Dubai,AE,0000,AE,LEED v4 BD+C: NC,71,Gold,27/02/2024 00:00,Yes,"Government Use: Other (utility, airport,",119086,Sq ft,0,Service: Other Service,Empower Energy Solutions,07/04/2020 00:00
1000130598,Yes,Confidential,Confidential,Confidential,TN,Confidential,US,LEED v4 BD+C: NC,58,Silver,13/11/2024 00:00,Yes,Confidential,5000,Sq ft,0,Confidential,Confidential,13/04/2020 00:00
1000130960,No,Colby College Gordon Center,Colby College,Waterville,ME,04901,US,LEED v4 BD+C: NC,62,Gold,29/02/2024 00:00,Yes,"Educational: College, Private",70481,Sq ft,0,Core Learning Space: College/University,Colby College,27/04/2020 00:00
1000130961,No,NYU Ambulatory Hub 1111 Franklin Avenue,1111 Franklin Avenue,Garden City,NY,11530,US,LEED v4 BD+C: NC,51,Silver,03/09/2024 00:00,Yes,Non-Profit (that do not fit into other c,246621,Sq ft,0,Healthcare: Clinic/Other Outpatient,NYU Langone Medical Center,27/04/2020 00:00
1000130965,Yes,Confidential,Confidential,Confidential,TN,Confidential,US,LEED v4 BD+C: NC,45,Certified,13/11/2024 00:00,Yes,Confidential,17866,Sq ft,0,Confidential,Confidential,28/04/2020 00:00
1000130970,No,Capers Hall - Building Replacement,171 Moultrie Street,Charleston,SC,29404,US,LEED v4 BD+C: NC,56,Silver,12/06/2024 00:00,Yes,"Educational: University, Public",97500,Sq ft,0,Core Learning Space: College/University,The Citadel,28/04/2020 00:00
1000130974,Yes,Confidential,Confidential,Confidential,TN,Confidential,US,LEED v4 BD+C: NC,53,Silver,13/11/2024 00:00,Yes,Confidential,11943,Sq ft,0,Confidential,Confidential,28/04/2020 00:00
1000131005,No,Mult. Behavioral Health Resource Center,333 SW Park Ave,Portland,OR,97205,US,LEED v4 BD+C: NC,65,Gold,16/09/2024 00:00,Yes,"Government Use: Local, County",28502,Sq ft,0,Other,Multnomah County Oregon,30/04/2020 00:00
1000131151,No,UW - Founders Hall,4215 E Stevens Way,Seattle,WA,98195,US,LEED v4 BD+C: NC,67,Gold,10/01/2024 00:00,Yes,,84400,Sq ft,0,Core Learning Space: College/University, ,04/05/2020 00:00
1000131185,No,Green Hill School Recreation Building,375 SW 11th St,Chehalis,WA,98532,US,LEED v4 BD+C: NC,72,Gold,12/09/2024 00:00,Yes,"Government Use: Local, County",28400,Sq ft,0,Public Assembly: Recreation,Department of Children Youth Family Serv,05/05/2020 00:00
1000131219,No,Five Rivers Health Centers - M.O.B.,721 Miami Chapel Rd.,Dayton,OH,45417,US,LEED v4 BD+C: NC,46,Certified,08/04/2024 00:00,Yes,Corporate: Privately Held,84000,Sq ft,0,Healthcare: Clinic/Other Outpatient,Five Rivers Health Centers,07/05/2020 00:00
1000131228,No,LPC Public Safety Complex/AMT,3000 Campus Hill Dr,Livermore,CA,94551,US,LEED v4 BD+C: NC,56,Silver,31/01/2024 00:00,Yes,,75404,Sq ft,0,Core Learning Space: College/University, ,08/05/2020 00:00
1000131280,No,PennDOT D6-0 RTMC,7000 Geerdes Boulevard,King of Prussia,PA,19406,US,LEED v4 BD+C: NC,53,Silver,27/02/2024 00:00,Yes,Government Use: State,38278,Sq ft,0,Office: Government,Pennsylvania Department of General Servi,08/05/2020 00:00
1000131522,No,Soccer and Lacrosse Facility Expansion,1788 NATURAL AREA DR,Gainesville,FL,32611,US,LEED v4 BD+C: NC,60,Gold,02/07/2024 00:00,Yes,"Educational: College, Public",13500,Sq ft,0,Office: Mixed-Use,University of Florida,18/05/2020 00:00
1000131533,No,Airbus-Dual Bay Flightline Hangar 24,320 Airbus Way,Mobile,AL,36615,US,LEED v4 BD+C: NC,57,Silver,15/01/2024 00:00,Yes,,91859,Sq ft,0,Airport: Hangar, ,19/05/2020 00:00
1000131547,No,Oracle 6VDG,6 Van de Graaff Dr,Burlington,MA,01803,US,LEED v4.1 O+M: EB,67,Gold,13/12/2024 00:00,Yes,Corporate: Publicly Traded,125000,Sq ft,0,Office: Administrative/Professional,Oracle,19/05/2020 00:00
1000131604,No,AIRBUS Staging Bldg + Calibration Hangar,320 Airbus Way,Mobile,AL,36615,US,LEED v4 BD+C: NC,64,Gold,22/11/2024 00:00,Yes,,32410,Sq ft,0,Airport: Hangar, ,19/05/2020 00:00
1000131629,No,CSU MC Harbison Research & Ed Bldg,16321 Pingree Park Rd,Bellvue,CO,80512,US,LEED v4 BD+C: NC,50,Silver,17/07/2024 00:00,Yes,"Educational: University, Public",8172,Sq ft,0,Core Learning Space: College/University,Colorado State University - Fort Collins,20/05/2020 00:00
1000131657,No,College Park City Hall,7401 Baltimore Ave,College Park,MD,20740,US,LEED v4 BD+C: NC,60,Gold,16/08/2024 00:00,Yes,"Government Use: Local, City",93175,Sq ft,0,Office: Government,City Of College Park,21/05/2020 00:00
1000131679,No,Chick fil A 03863 Annandale,7120 Little River Turnpike,Annandale,VA,22003,US,LEED v4 BD+C: NC,42,Certified,05/09/2024 00:00,Yes,Corporate: Privately Held,4300,Sq ft,0,Retail: Fast Food,"Chick-fil-A, Inc.",22/05/2020 00:00
1000131721,No,MSU Thurgood Marshall Hall - Phase 1,1800 Argonne Drive,Baltimore,MD,21218,US,LEED v4 BD+C: NC,62,Gold,04/04/2024 00:00,Yes,"Educational: University, Public",222557,Sq ft,0,Lodging: Dormitory,Maryland Economic Development Corp.,26/05/2020 00:00
1000131722,No,JOHN S. & JAMES L. Knight Recital Hall,5513 San Amaro,coral gables,FL,33146,US,LEED v4 BD+C: NC,53,Silver,22/04/2024 00:00,Yes,"Educational: College, Private",21165,Sq ft,0,Public Assembly: Entertainment,University of Miami,26/05/2020 00:00
1000131801,No,May Lee State Office Complex prev. RBOC,651 Bannon Street,Sacramento,CA,95814,US,LEED v4 BD+C: NC,69,Gold,06/12/2024 00:00,Yes,Government Use: State,1382875,Sq ft,0,Office: Government,State of California,29/05/2020 00:00
1000131832,Yes,Confidential,Confidential,Confidential,PA,Confidential,US,LEED v4 BD+C: NC,54,Silver,02/10/2024 00:00,Yes,Confidential,37500,Sq ft,0,Confidential,Confidential,01/06/2020 00:00
1000132019,No,Virginia Tech Upper Quad Hall North,280 Stanger St,Blacksburg,VA,24060,US,LEED v4 BD+C: NC,53,Silver,03/07/2024 00:00,Yes,,56650,Sq ft,0,Lodging: Dormitory, ,08/06/2020 00:00
1000132038,No,Eastlake at Tillery - Bldg 2,3212 East Cesar Chavez Street Bldg 2,Austin,TX,78702,US,LEED v4.1 O+M: EB,56,Silver,15/10/2024 00:00,Yes,Investor: Equity Fund,99137,Sq ft,0,Office: Administrative/Professional,Cypress Real Estate Advisors,05/06/2020 00:00
1000132061,No,"Otay Mesa US LPOE, Commercial Annex Bldg",9777 Via de la Amistad,San Diego,CA,92154,US,LEED v4 BD+C: NC,65,Gold,10/01/2024 00:00,Yes,,33000,Sq ft,0,Office: Government, ,08/06/2020 00:00
1000132062,No,"Otay Mesa US LPOE, USDA Plant Inspection",9777 Via de la Amistad,San Diego,CA,92154,US,LEED v4 BD+C: NC,62,Gold,10/01/2024 00:00,Yes,,12300,Sq ft,0,Laboratory, ,08/06/2020 00:00
1000132181,No,UC Davis at Orchard Park - Amenity,Russell Blvd and Orchard Circle,Davis,CA,95616,US,LEED v4 BD+C: NC,52,Silver,19/02/2024 00:00,Yes,"Educational: University, Public",15699,Sq ft,0,Other,UC Davis,10/06/2020 00:00
1000132329,No,Lukachukai Fire Station Bus Bay,Intersection of IR12 and IR 13,Lukachukai,AZ,86507,US,LEED v4 BD+C: NC,51,Silver,20/03/2024 00:00,Yes,"Educational: K-12 School, Public",8464,Sq ft,0,Public Order and Safety: Fire/Police Station,Lukachukai Community School,15/06/2020 00:00
1000132337,No,East College Street Development,121 East College St,Iowa City,IA,52240,US,LEED v4 BD+C: NC,60,Gold,17/05/2024 00:00,Yes,Corporate: Privately Held,119000,Sq ft,0,Multi-Family Residential: Apartment,Tailwind Group,16/06/2020 00:00
1000132401,No,Starbucks China Office Building,Plot south of Honghu Road and west of Pe,Kunshan,Jiangsu,215337,CN,LEED v4 BD+C: NC,88,Platinum,06/05/2024 00:00,Yes,,3318,Sq m,0,Office: Mixed-Use, ,17/06/2020 00:00
