Project_Id,Country,StateName,CityName,ProjectTypes,CertLevel,PointsAchieved,FloorArea,EnergySaving,CO2Avoided,CertDate
1000052319,US,CON,CON,CONF,Silver,54,56378.94,2114210,930253,"2024-01-26 00:00:00"
1000052529,US,PA,JOH,"Core Learning Space: College/University",Certified,40,6061.46,181844,80011,"2024-06-12 00:00:00"
1000052631,US,IL,JOI,"Lodging: Hotel/Motel/Resort, Full Service",Silver,54,10217.75,498115,219171,"2024-01-16 00:00:00"
1000053613,US,FL,MIA,"Multi-Family Residential: Apartment",Silver,50,95363.63,2145682,944100,"2024-03-29 00:00:00"
1000054064,US,CA,RED,Other,Gold,60,14629.34,914334,402307,"2024-08-19 00:00:00"
1000055676,US,CA,FC,"Service: Other Service",Silver,54,836.5,31369,13802,"2024-07-09 00:00:00"
1000055677,US,CA,FC,"Healthcare: Clinic/Other Outpatient",Gold,67,14051.76,2459058,1081986,"2024-07-09 00:00:00"
1000056941,US,NY,BRO,"Public Order and Safety: Other Public Order",Silver,53,307.97,11549,5082,"2024-07-15 00:00:00"
1000057425,US,VA,LEE,Other,Gold,61,3316.64,207290,91208,"2024-05-02 00:00:00"
1000058836,AE,CON,CON,CONF,Certified,46,270321.07,6758027,2703211,"2024-02-12 00:00:00"
1000059705,US,MI,WAR,"Office: Administrative/Professional",Certified,41,33445.08,501676,220738,"2024-05-02 00:00:00"
1000061064,HK,NT,HK,"Lodging: Hotel/Motel/Resort, Full Service",Gold,61,17940.13,1457636,845429,"2024-02-28 00:00:00"
1000063098,US,VA,FIS,"Core Learning Space: Other classroom education",Certified,49,10406.16,312185,137361,"2024-07-10 00:00:00"
1000063509,US,FL,MIA,"Multi-Family Residential: Condominium",Silver,52,76855.86,1729257,760873,"2024-04-29 00:00:00"
1000064718,US,VA,RAD,"Core Learning Space: College/University",Gold,60,3045.36,228402,100497,"2024-08-07 00:00:00"
1000065115,CN,HUN,CHA,Other,Gold,66,148833.95,9302122,5209188,"2024-04-11 00:00:00"
1000065117,CN,HUN,CHA,"Public Assembly: Museum",Platinum,86,12073.58,633863,354963,"2024-04-11 00:00:00"
1000065227,US,CON,CON,CONF,Silver,55,37502.9,1406359,618798,"2024-12-26 00:00:00"
1000065546,US,FL,GAI,"Core Learning Space: College/University",Silver,52,7948.78,357695,157386,"2024-02-07 00:00:00"
1000065565,US,VA,ARL,"Multi-Family Residential: Apartment",Gold,63,29447,1104262,485876,"2024-03-11 00:00:00"
1000066926,US,CA,SF,"Multi-Family Residential: Apartment",Silver,57,16519.73,371694,163545,"2024-12-20 00:00:00"
1000068525,IN,HAR,FAR,"Healthcare: Inpatient",Gold,70,393784,68912200,48927662,"2024-08-20 00:00:00"
1000068550,US,CON,CON,CONF,Silver,51,17647.3,661774,291180,"2024-09-17 00:00:00"
1000068666,US,MA,SHE,"Public Assembly: Library",Certified,44,709.96,21299,9371,"2024-08-26 00:00:00"
1000068761,US,IN,BLO,"Public Assembly: Stadium/Arena",Gold,60,10816.05,1892809,832836,"2024-04-12 00:00:00"
1000068763,US,TN,NAS,Other,Gold,63,61169.01,3823063,1682148,"2024-08-02 00:00:00"
1000069108,US,TX,LUB,"Public Assembly: Entertainment",Certified,45,19881.24,298219,131216,"2024-02-08 00:00:00"
