Metric_Id,Project_Id,EnergySaving,CO2Avoided,WaterSaving,WasteAvoided
113,1000103869,4415531.0,1942834.0,35867.7,190207500.0
114,1000103925,1133192.0,498605.0,5842.237,120873864.0
115,1000104109,1050350.0,462154.0,5041.68,30010000.0
116,1000104125,262500.0,81375.0,1260.0,7500000.0
117,1000104142,905804.0,398554.0,8175.464,52025680.0
118,1000104206,459870.0,202343.0,1021.933,10219330.0
119,1000105074,556054.0,244664.0,2150.074,66726450.0
120,1000105198,836179.0,367919.0,4310.968,89192448.0
121,1000105226,2111175.0,865582.0,9795.852,168894000.0
122,1000105276,234624.0,103235.0,469.248,3910400.0
123,1000105304,347938.0,86984.0,835.05,13917500.0
124,1000105372,828900.0,256959.0,1657.8,13815000.0
125,1000105401,90608.0,28088.0,467.132,9664800.0
126,1000105461,253688.0,78643.0,1177.11,20295000.0
127,1000105781,154080.0,66254.0,794.368,16435200.0
128,1000105885,1512693.0,665585.0,7018.896,121015440.0
129,1000106028,209032.0,91974.0,1077.675,22296720.0
130,1000106369,2749753.0,1209891.0,10999.01,117846540.0
131,1000106432,10817.0,4759.0,41.824,1297998.0
132,1000106487,28740.0,8909.0,111.128,3448800.0
133,1000106506,287280.0,126403.0,1378.944,8208000.0
134,1000106759,4407797.0,1939431.0,20452.178,352623750.0
135,1000106799,266453.0,117239.0,592.117,5921170.0
136,1000106828,148622.0,65393.0,247.702,3715537.5
137,1000106835,491224.0,216139.0,2279.282,39297960.0
138,1000106921,11086429.0,4878029.0,50680.818,271504380.0
139,1000107162,736210.0,323932.0,1472.42,12270162.5
140,1000107173,19950.0,4588.0,39.9,1197000.0
141,1000107660,594051.0,261383.0,1320.114,13201140.0
142,1000107702,795422.0,349986.0,4100.844,84845040.0
143,1000107703,84166.0,37033.0,325.441,10099908.0
144,1000108028,174193.0,76645.0,808.256,13935450.0
145,1000108048,236902.0,104237.0,473.805,3948375.0
146,1000108083,148225.0,45950.0,711.48,4235000.0
147,1000108087,751252.0,330551.0,6780.528,43148812.0
148,1000108108,2125899.0,935396.0,9718.397,52062840.0
149,1000108110,267561.0,117727.0,1379.423,28539792.0
150,1000108133,113574.0,49973.0,227.148,6814440.0
151,1000108153,14295670.0,4431658.0,116124.828,615813482.9
152,1000108294,184713.0,81274.0,410.473,4104730.0
153,1000108878,380348.0,117908.0,3432.88,21845600.0
154,1000109218,433822.0,190882.0,1041.172,17352875.0
155,1000109723,86042.0,37858.0,443.592,9177768.0
156,1000110129,80168.0,35274.0,309.982,9620136.0
157,1000110131,31355.0,13796.0,83.613,1672260.0
158,1000110216,93479.0,41131.0,207.731,2077310.0
159,1000110262,1166390.0,513212.0,2332.78,19439837.5
160,1000110302,190672.0,83896.0,508.458,10169160.0
161,1000110444,700690.0,308303.0,6324.173,40244736.0
162,1000110904,2525862.0,1111380.0,12124.14,72167500.0
163,1000111286,364343.0,160311.0,693.986,5204895.0
164,1000111466,508063.0,360725.0,1219.352,20322525.0
165,1000111605,92961.0,40903.0,479.263,9915792.0
166,1000111662,297153.0,130747.0,1378.788,23772210.0
167,1000111672,784275.0,321553.0,2091.4,41828000.0
168,1000112085,23073.0,6922.0,118.953,2461104.0
169,1000112243,885305.0,380681.0,4107.816,70824420.0
170,1000112295,773625.0,239824.0,1547.25,12893750.0
171,1000112312,21600.0,9504.0,100.224,1728000.0
172,1000112631,613585.0,269977.0,2847.033,49086780.0
173,1000112679,1854677.0,816058.0,7418.706,79486140.0
174,1000112817,623556.0,274365.0,5627.992,35814492.0
175,1000112883,354401.0,88600.0,708.803,21264084.45
176,1000113225,2908471.0,1279727.0,6647.934,99719010.0
177,1000113372,134709.0,59272.0,269.418,8082555.0
178,1000113485,316474.0,139249.0,843.931,16878620.0
179,1000114419,1754438.0,228077.0,4210.65,70177500.0
180,1000114453,7284974.0,3205388.0,16651.368,249770520.0
181,1000114457,4209134.0,1852019.0,18600.366,288626364.0
182,1000114924,503457.0,221521.0,1342.551,26851020.0
183,1000114974,114694.0,50465.0,591.309,12233976.0
184,1000114987,102445.0,45076.0,546.375,3902680.0
185,1000115030,168638.0,52278.0,782.478,13491000.0
186,1000115045,104516.0,45987.0,232.257,2322570.0
187,1000115047,1440675.0,633897.0,3841.799,76835980.0
188,1000115053,589727.0,259480.0,3145.212,22465800.0
189,1000115157,224048.0,98581.0,448.095,3734125.0
190,1000115201,11302095.0,3503649.0,21527.8,161458500.0
191,1000115231,201412.0,46325.0,934.554,16113000.0
192,1000115244,520252.0,228911.0,1040.505,8670875.0
193,1000115261,3483504.0,1532742.0,28296.774,150058650.0
194,1000116060,501216.0,220535.0,2584.048,53463072.0
195,1000116061,820418.0,360984.0,4229.711,87511272.0
196,1000116182,1049618.0,587786.0,4638.313,71973828.0
197,1000116565,6182348.0,2720233.0,50219.69,266316540.0
198,1000116670,15000.0,6000.0,69.6,1200000.0
199,1000116708,69618.0,30632.0,185.648,3712960.0
200,1000116948,54857.0,24137.0,254.536,4388550.0
201,1000117003,47722.0,20998.0,246.034,5090352.0
202,1000117364,1192118.0,274187.0,5268.024,81745200.0
203,1000117389,690007.0,303603.0,1380.014,11500112.5
204,1000117468,18807.0,8275.0,27.584,877674.0
205,1000117493,206245.0,90748.0,343.741,5156115.0
206,1000117571,1612634.0,709559.0,7740.642,46075250.0
207,1000117911,72381.0,31848.0,319.854,4963248.0
208,1000117981,255472.0,112408.0,1185.389,20437740.0
209,1000117983,1577564.0,694128.0,12814.672,67956595.0
210,1000118039,1925318.0,847140.0,8933.477,154025460.0
211,1000118205,303786.0,133666.0,607.572,5063100.0
212,1000118400,9389205.0,5257955.0,45068.184,268263000.0
213,1000118401,367269.0,205671.0,1622.979,25184160.0
214,1000118791,547911.0,241081.0,1461.095,29221900.0
215,1000119140,8955.0,2060.0,34.626,1074600.0
216,1000119329,392894.0,172873.0,2095.436,14967400.0
217,1000119511,158864.0,69900.0,353.031,3530310.0
218,1000119611,682837.0,293620.0,2731.35,29264460.0
219,1000119612,5625277.0,2475122.0,27001.33,160722200.0
220,1000119708,7538.0,2337.0,38.86,804000.0
221,1000119744,493588.0,217179.0,1184.612,19743525.0
222,1000119745,2420726.0,1065119.0,16386.451,156416127.0
223,1000119759,67355.0,29636.0,134.71,4041285.0
224,1000119770,951095.0,418482.0,7725.815,40970230.0
225,1000119772,97855.0,43056.0,378.372,11742570.0
226,1000119839,466025.0,144468.0,2236.92,13315000.0
227,1000119861,206917.0,91044.0,1867.562,11884488.0
228,1000120063,108000.0,47520.0,501.118,8639970.0
229,1000120075,779247.0,342869.0,3740.386,22264200.0
230,1000120085,353640.0,109628.0,1414.56,15156000.0
231,1000120132,163440.0,71914.0,842.623,17433576.0
232,1000120314,1666979.0,733471.0,15045.554,95744432.0
233,1000120423,635250.0,158812.0,2807.2,43560000.0
234,1000120797,222839.0,98049.0,984.736,15280380.0
235,1000120828,61316.0,26979.0,102.194,1532902.5
236,1000120869,182033.0,80095.0,404.518,4045180.0
237,1000120913,149564.0,65808.0,771.087,15953520.0
238,1000120994,1481293.0,651769.0,6873.2,118503450.0
239,1000121357,830411.0,332164.0,6745.49,35771540.0
240,1000121363,1042546.0,458720.0,2316.769,23167690.0
241,1000121586,127248.0,55989.0,305.396,5089925.0
242,1000121590,2579362.0,644841.0,20952.36,111111000.0
243,1000121687,868100.0,381964.0,4629.867,33070480.0
244,1000121700,255075.0,112233.0,680.199,13603980.0
245,1000121785,524610.0,162629.0,1165.8,11658000.0
246,1000121792,1995350.0,458930.0,9577.68,57010000.0
247,1000122321,905804.0,398554.0,7357.918,39019260.0
248,1000122372,99781.0,43904.0,462.984,7982490.0
249,1000122888,473805.0,208474.0,947.61,7896750.0
250,1000122899,104550.0,46002.0,278.8,5576000.0
251,1000123012,147368.0,64842.0,683.785,11789400.0
252,1000123183,221574.0,97493.0,443.148,3692900.0
253,1000123400,857727.0,377400.0,1715.454,14295450.0
254,1000123721,452902.0,199277.0,905.805,7548375.0
255,1000123783,310064.0,136428.0,826.837,16536740.0
256,1000123812,682837.0,300448.0,1365.674,11380612.5
257,1000123851,44106.0,19406.0,227.389,4704600.0
258,1000124095,857655.0,377368.0,4421.689,91483224.0
259,1000124108,193875.0,48469.0,899.58,15510000.0
260,1000124249,47854.0,21056.0,79.757,1196355.0
261,1000124273,179694.0,79065.0,926.424,19167384.0
262,1000124286,68322.0,30062.0,317.014,5465760.0
263,1000124295,104218.0,45856.0,208.437,6253110.0
264,1000124300,358852.0,157895.0,717.704,5980862.5
265,1000124371,501676.0,220738.0,1114.836,11148360.0
266,1000124417,1895859.0,834178.0,9774.209,202225008.0
267,1000124497,522579.0,229935.0,1045.158,8709650.0
268,1000124510,179063.0,78788.0,923.169,19100040.0
269,1000124547,1525565.0,671249.0,6741.546,104610204.0
270,1000124589,1114836.0,490528.0,5172.839,89186880.0
271,1000124722,781625.0,336099.0,1875.9,31265000.0
272,1000124776,994191.0,437444.0,5125.605,106047000.0
273,1000124804,178684.0,78621.0,408.42,6126300.0
274,1000124812,1104245.0,485868.0,5889.307,42066480.0
275,1000125031,1650717.0,726315.0,7659.325,132057330.0
276,1000125072,320516.0,141027.0,1487.192,25641240.0
277,1000125146,640125.0,454489.0,230.445,10242000.0
278,1000125291,242062.0,135555.0,1123.17,19365000.0
279,1000125416,1617083.0,711517.0,3234.166,26951387.5
280,1000125563,904385.0,397930.0,6121.993,58437204.0
281,1000125581,544325.0,239503.0,2806.298,58061328.0
282,1000125609,1315855.0,578976.0,6105.566,105268380.0
283,1000125660,268125.0,117975.0,536.25,4468750.0
284,1000125676,214843.0,94531.0,477.429,4774290.0
285,1000125733,198360.0,61492.0,1022.656,21158400.0
286,1000125921,182330.0,80225.0,729.322,7814160.0
287,1000126140,1835388.0,807571.0,8110.667,125855172.0
288,1000126363,422600.0,185944.0,939.11,9391100.0
289,1000126435,3581870.0,1576023.0,19103.308,136452200.0
290,1000126485,2569809.0,1130716.0,4894.874,36711555.0
291,1000126661,42083.0,18516.0,84.166,2524965.0
292,1000126697,130064.0,57228.0,171.684,4552240.0
293,1000126743,89308.0,39295.0,178.616,5358465.0
294,1000126744,59198.0,26047.0,305.197,6314424.0
295,1000126748,550450.0,242198.0,1100.901,9174175.0
296,1000126761,1287562.0,296139.0,2943.0,44145000.0
297,1000126762,1842225.0,423712.0,4210.8,63162000.0
298,1000126780,1731625.0,398274.0,3958.0,59370000.0
299,1000126781,172812.0,39747.0,395.0,5925000.0
300,1000126860,166696.0,73346.0,277.826,4167397.5
301,1000127107,394373.0,173524.0,788.746,6572887.5
302,1000127189,83228.0,36620.0,443.884,3170600.0
