ProjectName,CertLevel,GrossFloorAreaSqm,EnergySaving,EnergySaving_Percent,Cert_Level_Num
H Building Allianz,Silver,36217.0,814882.0,0.11249993097164315,2
Camp Rilea B7116,Certified,3112.25,77806.0,0.12499959836131416,1
Heliport,Silver,1506.05,33886.0,0.11249958500713787,2
JHU - Applied Physics Laboratory B201,Silver,24433.49,2565516.0,0.524999907913278,2
Orlando Wetlands Park Operations Center,Gold,623.66,38979.0,0.3125020042972132,3
Engine 37 Expansion,Gold,1005.95,37723.0,0.18749937869675432,3
WRHC Building F Renovation,Certified,9948.05,298442.0,0.15000025130553227,1
URBA,Silver,35667.78,802525.0,0.112499992990873,2
Newburyport Crossing - One Boston Way,Silver,8069.74,181569.0,0.11249990706020269,2
Delta Electronics India Pvt. Ltd.,Gold,40716.04,1526852.0,0.18750006140086314,3
Istanbul Museum of Modern Art,Gold,15479.78,580492.0,0.18750008075050162,3
Oyak Dragos - A Block,Gold,33500.0,1256250.0,0.1875,3
Oyak Dragos - B Block,Gold,26670.0,1000125.0,0.1875,3
Sylvia H. Rambo United States Courthouse,Gold,22561.12,846042.0,0.1875,3
AnantaraMinaAlArabRAKResort-MainB&RiyadB,Gold,25495.95,2071546.0,0.40625001225684865,3
JMU - Dukes Dining,Certified,3451.53,69031.0,0.10000057945317005,1
CONF,Gold,288713.17,18044573.0,0.3124999978352217,3
CONF,Silver,23597.36,884901.0,0.1875,2
Pittsburgh Yards,Certified,5665.22,84978.0,0.07499973522652253,1
FS6 & FTC - Building 1 & 2,Silver,2787.09,62710.0,0.11250085214327489,2
WAG - Inuit Art Centre Addition,Certified,3367.0,50505.0,0.075,1
University of Calgary MacKimmie Complex,Platinum,33568.0,1762320.0,0.2625,4
Ko'ula,Gold,66971.91,2511447.0,0.1875000279968124,3
U.S. DOT Volpe Exchange Project,Platinum,52583.38,2760627.0,0.26249995721081454,4
SEA International Arrivals Facility,Silver,31587.02,1184513.0,0.1874999604267829,2
CONF,Gold,9049.0,565562.0,0.31249972372637863,3
UCLA Southwest Campus Apartments,Gold,54345.0,4415531.0,0.40624997699880394,3
Ovation Apartments,Silver,50364.11,1133192.0,0.11249995284340376,2
UCDH Eye Center Addition,Gold,6002.0,1050350.0,0.875,3
Bramalea GO Station,Gold,1500.0,262500.0,0.875,3
UVA - Bond House,Silver,18580.6,905804.0,0.24374993272553097,2
CSU Chico Science Building,Silver,10219.33,459870.0,0.2250000733903299,2
Makers Rise,Certified,37070.25,556054.0,0.0750000337197618,1
Yards - Parcel I,Silver,37163.52,836179.0,0.11249997309189227,2
ARMY PN86877 AFH090 Family Towers,Gold,56298.0,2111175.0,0.1875,3
Diablo Valley College Arts Complex,Gold,3128.32,234624.0,0.375,3
CONF,Gold,5567.0,347938.0,0.3125004490749057,3
Manitou a bi Bii daziigae,Gold,11052.0,828900.0,0.375,3
Nicholson Tower,Silver,4027.0,90608.0,0.11250062080953563,2
MTL-Centre aquatique Rosemont,Gold,6765.0,253688.0,0.18750036954915003,3
Istanbul Universitesi AUZEF Binasi,Silver,6848.0,154080.0,0.1125,2
Cambridge Crossing - Park 151,Gold,40338.48,1512693.0,0.18749999999999997,3
Laserfiche,Silver,9290.3,209032.0,0.11250013454893816,2
UPMC Vision And Rehabilitation Hospital,Certified,39282.18,2749753.0,0.3500000509136713,1
Borgen Precourt Center for Sustainabilit,Certified,721.11,10817.0,0.07500242681421697,1
Poste de la SQ Beauce-Sartigan,Certified,1916.0,28740.0,0.075,1
Lynnwood City Center,Gold,1641.6,287280.0,0.875,3
280 Park Avenue,Gold,117541.25,4407797.0,0.18750000531728223,3
PE & K Renovation,Silver,5921.17,266453.0,0.2250002955496971,2
Saint Vincent College Library,Certified,4954.05,148622.0,0.1500005046376197,1
Yale Peabody Museum of Natural History,Gold,13099.32,491224.0,0.18749980915039866,3
DEN Airport Concourse A West Expansion,Platinum,45250.73,11086429.0,1.2250000165743182,4
William and Linda Frost Center,Gold,9816.13,736210.0,0.37500012734142685,3
CONF,Certified,798.0,19950.0,0.125,1
Rane Culinary Science Center,Silver,13201.14,594051.0,0.22499988637344956,2
Central Bank Center,Silver,35352.1,795422.0,0.11249996464142159,2
Pavilion at the Central Bank Center,Certified,5611.06,84166.0,0.07500008910972258,1
Southeast Community Center,Gold,4645.15,174193.0,0.18749986545106187,3
Dartmouth Anonymous Hall,Gold,3158.7,236902.0,0.3749992085351569,3
Agincourt GO Station,Gold,847.0,148225.0,0.875,3
UC Calhoun Hall,Silver,15410.29,751252.0,0.24375011761621618,2
LAX APM Maintenance & Storage Facility,Platinum,8677.14,2125899.0,1.2249998271319813,4
210 Route 4 East,Silver,11891.58,267561.0,0.1125001892095079,2
CONF,Certified,4542.96,113574.0,0.125,1
Cheko'nien House,Gold,175946.7094,14295670.0,0.4062499960570448,3
Kenyon College Oden Hall,Silver,4104.73,184713.0,0.2250001827160374,2
Autumn Grove Lodge,Silver,7802.0,380348.0,0.2437503204306588,2
CONF,Gold,6941.15,433822.0,0.3125000900427163,3
DMA Cyber,Silver,3824.07,86042.0,0.11250055569066465,2
AEP Newark Service Center,Certified,5344.52,80168.0,0.07500018710754193,1
EGCC-Acute Mental Health Unit,Silver,836.13,31355.0,0.1875007474914188,2
GRCC/ATC Addition No. 1,Silver,2077.31,93479.0,0.22500012034795,2
VCU STEM Building,Gold,15551.87,1166390.0,0.37499991962381374,3
CONF,Silver,5084.58,190672.0,0.18750024584134775,2
Ball State University North Res. Hall 2,Silver,14373.12,700690.0,0.243750139148633,2
SJSU Interdisciplinary Science Building,Gold,14433.5,2525862.0,0.8749998267918384,3
UCLA Botany Building Renovation,Platinum,3469.93,364343.0,0.5250005043329404,4
CONF,Gold,8129.01,508063.0,0.31249992311486885,3
Renovation of Historic City Hall,Silver,4131.58,92961.0,0.11250054458584852,2
Iowa City Public Works Phase 1,Gold,7924.07,297153.0,0.18750023662082743,3
CONF,Silver,20914.0,784275.0,0.1875,2
Shelo Nabel CN Queretaro,Silver,1025.46,23073.0,0.1125007313790884,2
ING Bank Turkey Headquarters,Gold,23608.14,885305.0,0.18749994705216083,3
York University SCS,Gold,10315.0,773625.0,0.375,3
Denver Water NTP Operations Building,Gold,576.0,21600.0,0.1875,3
JM Family - Offices A & B,Gold,16362.26,613585.0,0.18750007639531457,3
COTA Fields Avenue CNG Station,Certified,26495.38,1854677.0,0.3500000754848581,1
Jack Beyerl Residence Hall,Silver,12790.89,623556.0,0.24375004397661149,2
Terre dei Consoli - Club House Building,Certified,14176.0563,354401.0,0.12499985627173334,1
CONF,Platinum,33239.67,2908471.0,0.43749998119716593,4
VMI CPTF AQUATIC CENTER,Certified,5388.37,134709.0,0.12499976801889996,1
PorterFamily Indoor Performance Facility,Silver,8439.31,316474.0,0.18749992594181278,2
CONF,Gold,28071.0,1754438.0,0.31250008905988386,3
CONF,Platinum,83256.84,7284974.0,0.4375000300275629,4
"Whatcom Vlg - 3 4 5 6, N O P Q",Platinum,80173.99,4209134.0,0.26249997037692646,4
CONF,Silver,13425.51,503457.0,0.18750013965949897,2
W&M Sadler West Addition,Silver,5097.49,114694.0,0.11250046591557807,2
W&M Campus Living Center,Silver,975.67,102445.0,0.5249982063607572,2
Oakville Trafalgar Community Centre,Gold,4497.0,168638.0,0.187500555926173,3
Grafton MA Library Expansion/Renovation,Silver,2322.57,104516.0,0.22500075347567564,2
CONF,Silver,38417.99,1440675.0,0.18750004880526025,2
UVM Firestone Medical Research Building,Silver,5616.45,589727.0,0.5249997774394858,2
DVC Health Sciences & Athletics Complex,Gold,2987.3,224048.0,0.37500083687610886,3
University of Calgary Mathison Hall,Platinum,107639.0,11302095.0,0.525,4
Centro Internacional del Espanol,Gold,5371.0,201412.0,0.1874995345373301,3
Wesleyan Public Affairs Center,Gold,6936.7,520252.0,0.3749996395980798,3
Hilton Columbus Downtown Expansion,Gold,42873.9,3483504.0,0.4062499562670996,3
22 Banner Lane,Silver,22276.28,501216.0,0.11249993266380204,2
44 Banner Lane,Silver,36463.03,820418.0,0.11249997600309135,2
Shenling Base III R&D Building,Platinum,19992.73,1049618.0,0.26249991872045486,4
Block 216,Gold,76090.44,6182348.0,0.4062499835721807,3
AL-MUNTADA Knowledge Space Saint-Gobain,Gold,400.0,15000.0,0.1875,3
MSU Public Safety Building,Silver,1856.48,69618.0,0.1875,2
City of Raleigh Fire Station 22,Gold,1462.85,54857.0,0.18750042724817992,3
DSWA Administration Building,Silver,2120.98,47722.0,0.11249988212995879,2
GCO Mendez Alvaro 31,Platinum,22707.0,1192118.0,0.2625001100982076,4
Sesquicentennial Hall,Gold,9200.09,690007.0,0.37500013586823605,3
"Clearwater Credit Union, Brooks Branch",Silver,626.91,18807.0,0.14999760731205436,2
Penn State Berks Beaver Community Center,Certified,6874.82,206245.0,0.15000029091670763,1
Kaiser Permanente Springfield MOB,Gold,9215.05,1612634.0,0.8750001356476634,3
Toyota MS Experience Center,Platinum,1378.68,72381.0,0.2625010879972147,4
Raclin Murphy Museum of Art,Gold,6812.58,255472.0,0.18750018348408384,3
UC Davis Shasta Hall,Gold,19416.17,1577564.0,0.40625004828449696,3
The Standard at Seattle,Gold,51341.82,1925318.0,0.18749997565337576,3
HLS Lewis Hall,Gold,4050.48,303786.0,0.375,3
BTC Phase III construction,Gold,53652.6,9389205.0,0.875,3
Administration Building of BTC,Platinum,6995.6,367269.0,0.2625,4
CONF,Silver,14610.95,547911.0,0.18750012832841123,2
Comisaria Policia Olesa de Montserrat,Certified,597.0,8955.0,0.075,1
AUS IT Building,Silver,3741.85,392894.0,0.5249996659406443,2
Jane E. Heminger Hall,Silver,3530.31,158864.0,0.22500007081531084,2
Ereks Blue Matters Resp. Prod. Platform,Certified,9754.82,682837.0,0.34999979497315176,1
Emory University HSRB II,Gold,32144.44,5625277.0,0.875,3
MTL-Maison Robert-Belanger,Silver,335.0,7538.0,0.11250746268656717,2
CONF,Gold,7897.41,493588.0,0.3124999208601301,3
Indianapolis-Marion County Sheriff/ADC,Certified,74483.87,2420726.0,0.1625000151039413,1
CONF,Certified,2694.19,67355.0,0.12500046396133904,1
Rice Sid Richardson Residential College,Gold,11705.78,951095.0,0.40625016017727994,3
NKU Residence Hall,Certified,6523.65,97855.0,0.07500019161052478,1
Rutherford GO Station,Gold,2663.0,466025.0,0.875,3
UMW Virginia Hall Renovation,Silver,4244.46,206917.0,0.2437494993473846,2
East Columbia 50+ Center,Gold,2879.99,108000.0,0.18750065104392724,3
Stockyards Event Center at the NWC,Gold,4452.84,779247.0,0.875,3
Maintenance & Storage Facility Main Bldg,Certified,5052.0,353640.0,0.35,1
CBC Student Recreation Center,Silver,7263.99,163440.0,0.11250015487356123,2
CSULA Student Housing East Project,Silver,34194.44,1666979.0,0.2437500073111301,2
CRIF 21,Platinum,12100.0,635250.0,0.2625,4
Irving Institute for Energy & Society,Platinum,4244.55,222839.0,0.262500147247647,4
Penn State Mont Alto Allied Health,Certified,2043.87,61316.0,0.1499997553660458,1
Remick Family Hall,Silver,4045.18,182033.0,0.224999876396106,2
Alief Neighborhood Center,Silver,6647.3,149564.0,0.11249981195372558,2
Metro Building at Eisenhower,Gold,39501.15,1481293.0,0.18749998417767583,3
ASGC Labour Accommodation Building,Gold,10220.44,830411.0,0.4062501223039321,3
Purdue Dudley Hall and Lambertus Hall,Silver,23167.69,1042546.0,0.22499998920910977,2
Animal Control Facility,Gold,2035.97,127248.0,0.312499693021017,3
Via Ripamonti 37,Gold,31746.0,2579362.0,0.40624992124992126,3
KP MMC Ambulatory Surgery Center,Silver,8267.62,868100.0,0.5249999395231033,2
CONF,Silver,6801.99,255075.0,0.1875002756546246,2
