Project_Id,ProjectName,Country,CertLevel,CertDate,GrossFloorAreaSqm,Energy_Saving_kWh,CO2_Avoided_kg
1000078249,La MaMa Experimental Theater,US,Silver,2024-01-09,819.87,18447.0,8117.0
1000078278,Port of Long Beach Fireboat Station 20,US,Gold,2024-01-02,908.87,34083.0,14996.0
1000078343,AF PN FJXT133000 DAFB Maintenance Hangar,US,Silver,2024-04-19,7709.37,289101.0,127205.0
1000078390,CONF,US,Platinum,2024-07-15,78342.22,6854944.0,3016175.0
1000078903,South County Police St & Animal Shelter,US,Silver,2024-12-05,4882.8,109863.0,48340.0
1000080765,CONF,US,Certified,2024-04-23,67447.58,1686190.0,741923.0
1000080871,Sterling Park Safety Center,US,Gold,2024-10-22,2171.33,81425.0,35827.0
1000081685,Missile Maintenance Dispatch Facility,US,Silver,2024-01-11,3897.75,146166.0,64313.0
1000083476,Winthrop Center Residences,US,Gold,2024-06-17,60386.95,2264511.0,996385.0
1000085478,Miami-Dade Fire Rescue Fire Station 29,US,Silver,2024-10-24,1056.31,23767.0,10457.0
1000085523,W&M Fine & Performing Arts Center,US,Silver,2024-08-29,14877.39,669483.0,294572.0
1000085744,UCSD Marine Conservation & Tech Facility,US,Gold,2024-06-17,3237.76,242832.0,106846.0
1000087076,CCL - B1,US,Silver,2024-01-23,23132.85,520489.0,229015.0
1000087533,Towson University Union,US,Gold,2024-03-29,23750.65,1781299.0,783771.0
1000087548,CONF,US,Silver,2024-01-23,8095.66,303587.0,133578.0
1000087812,CONF,US,Silver,2024-10-04,10219.33,383225.0,168619.0
1000088097,CONF,AE,Gold,2024-12-27,1896.61,118538.0,47415.0
1000088354,H Building Allianz,IT,Silver,2024-08-29,36217.0,814882.0,203721.0
1000088508,Camp Rilea B7116,US,Certified,2024-01-09,3112.25,77806.0,34235.0
1000090500,Heliport,US,Silver,2024-01-28,1506.05,33886.0,14910.0
1000090599,JHU - Applied Physics Laboratory B201,US,Silver,2024-02-29,24433.49,2565516.0,1128827.0
1000092493,CONF,US,Gold,2024-08-29,0.0,0.0,0.0
1000092882,Orlando Wetlands Park Operations Center,US,Gold,2024-08-22,623.66,38979.0,17151.0
1000093087,Engine 37 Expansion,US,Gold,2024-11-07,1005.95,37723.0,16598.0
1000093749,WRHC Building F Renovation,US,Certified,2024-10-23,9948.05,298442.0,131314.0
1000094413,URBA,US,Silver,2024-05-03,35667.78,802525.0,353111.0
1000095778,Newburyport Crossing - One Boston Way,US,Silver,2024-02-14,8069.74,181569.0,79890.0
1000096139,Delta Electronics India Pvt. Ltd.,IN,Gold,2024-09-04,40716.04,1526852.0,1084065.0
1000098959,Istanbul Museum of Modern Art,TR,Gold,2024-07-24,15479.78,580492.0,249611.0
1000099321,Oyak Dragos - A Block,TR,Gold,2024-03-13,33500.0,1256250.0,540188.0
1000099323,Oyak Dragos - B Block,TR,Gold,2024-06-24,26670.0,1000125.0,430054.0
1000099449,Sylvia H. Rambo United States Courthouse,US,Gold,2024-01-22,22561.12,846042.0,372258.0
1000099502,AnantaraMinaAlArabRAKResort-MainB&RiyadB,AE,Gold,2024-07-04,25495.95,2071546.0,828618.0
1000099506,JMU - Dukes Dining,US,Certified,2024-07-10,3451.53,69031.0,30373.0
1000099539,CONF,CN,Gold,2024-09-29,288713.17,18044573.0,10104961.0
1000099638,CONF,US,Silver,2024-08-26,23597.36,884901.0,389356.0
1000099673,Pittsburgh Yards,US,Certified,2024-12-12,5665.22,84978.0,37390.0
1000100234,FS6 & FTC - Building 1 & 2,US,Silver,2024-03-14,2787.09,62710.0,27592.0
