Project_Id,Location_Id,ProjectName,GrossFloorAreaSqm,ProjectTypes,IsCertified
1000085744,80,UCSD Marine Conservation & Tech Facility,3237.76,Core Learning Space: College/University,Yes
1000087076,81,CCL - B1,23132.85,Multi-Family Residential: Apartment,Yes
1000087533,82,Towson University Union,23750.65,Core Learning Space: College/University,Yes
1000087548,83,CONF,8095.66,CONF,Yes
1000087812,84,CONF,10219.33,CONF,Yes
1000088097,85,CONF,1896.61,CONF,Yes
1000088354,86,H Building Allianz,36217.0,Office: Mixed-Use,Yes
1000088508,87,Camp Rilea B7116,3112.25,Other,Yes
1000090500,88,Heliport,1506.05,Public Order and Safety: Fire/Police Station,Yes
1000090599,89,JHU - Applied Physics Laboratory B201,24433.49,Laboratory,Yes
1000092493,90,CONF,0.0,CONF,Yes
1000092882,91,Orlando Wetlands Park Operations Center,623.66,Other,Yes
1000093087,92,Engine 37 Expansion,1005.95,Public Order and Safety: Fire/Police Station,Yes
1000093749,93,WRHC Building F Renovation,9948.05,Core Learning Space: College/University,Yes
1000094413,94,URBA,35667.78,Multi-Family Residential: Apartment,Yes
1000095778,95,Newburyport Crossing - One Boston Way,8069.74,Multi-Family Residential: Apartment,Yes
1000096139,96,Delta Electronics India Pvt. Ltd.,40716.04,Office: Other Office,Yes
1000098959,97,Istanbul Museum of Modern Art,15479.78,Public Assembly: Social/Meeting,Yes
1000099321,98,Oyak Dragos - A Block,33500.0,Multi-Family Residential: Apartment,Yes
1000099323,99,Oyak Dragos - B Block,26670.0,Multi-Family Residential: Apartment,Yes
1000099449,100,Sylvia H. Rambo United States Courthouse,22561.12,Office: Government,Yes
1000099502,101,AnantaraMinaAlArabRAKResort-MainB&RiyadB,25495.95,"Lodging: Hotel/Motel/Resort, Full Service",Yes
1000099506,102,JMU - Dukes Dining,3451.53,Retail: Restaurant/Cafeteria,Yes
1000099539,103,CONF,288713.17,CONF,Yes
1000099638,104,CONF,23597.36,CONF,Yes
1000099673,105,Pittsburgh Yards,5665.22,Office: Other Office,Yes
1000100234,106,FS6 & FTC - Building 1 & 2,2787.09,Public Order and Safety: Fire/Police Station,Yes
1000100546,107,WAG - Inuit Art Centre Addition,3367.0,Public Assembly: Other Assembly,Yes
1000100613,108,University of Calgary MacKimmie Complex,33568.0,Office: Administrative/Professional,Yes
1000101896,109,Ko'ula,66971.91,Multi-Family Residential: Condominium,Yes
1000103118,110,U.S. DOT Volpe Exchange Project,52583.38,Office: Government,Yes
1000103264,111,SEA International Arrivals Facility,31587.02,Other,Yes
1000103365,112,CONF,9049.0,CONF,Yes
1000103869,113,UCLA Southwest Campus Apartments,54345.0,Lodging: Dormitory,Yes
1000103925,114,Ovation Apartments,50364.11,Multi-Family Residential: Apartment,Yes
1000104109,115,UCDH Eye Center Addition,6002.0,Healthcare: Clinic/Other Outpatient,Yes
1000104125,116,Bramalea GO Station,1500.0,Transit: Station/Elevated,Yes
1000104142,117,UVA - Bond House,18580.6,Lodging: Dormitory,Yes
1000104206,118,CSU Chico Science Building,10219.33,Core Learning Space: College/University,Yes
1000105074,119,Makers Rise,37070.25,Multi-Family Residential: Apartment,Yes
1000105198,120,Yards - Parcel I,37163.52,Multi-Family Residential: Apartment,Yes
1000105226,121,ARMY PN86877 AFH090 Family Towers,56298.0,Multi-Family Residential: Apartment,Yes
1000105276,122,Diablo Valley College Arts Complex,3128.32,Core Learning Space: College/University,Yes
1000105304,123,CONF,5567.0,CONF,Yes
1000105372,124,Manitou a bi Bii daziigae,11052.0,Core Learning Space: College/University,Yes
1000105401,125,Nicholson Tower,4027.0,Office: Administrative/Professional,Yes
1000105461,126,MTL-Centre aquatique Rosemont,6765.0,Public Assembly: Other Assembly,Yes
1000105781,127,Istanbul Universitesi AUZEF Binasi,6848.0,Public Assembly: Other Assembly,Yes
1000105885,128,Cambridge Crossing - Park 151,40338.48,Multi-Family Residential: Apartment,Yes
1000106028,129,Laserfiche,9290.3,Office: Administrative/Professional,Yes
1000106369,130,UPMC Vision And Rehabilitation Hospital,39282.18,Healthcare: Clinic/Other Outpatient,Yes
1000106432,131,Borgen Precourt Center for Sustainabilit,721.11,Office: Other Office,Yes
1000106487,132,Poste de la SQ Beauce-Sartigan,1916.0,Public Order and Safety: Fire/Police Station,Yes
1000106506,133,Lynnwood City Center,1641.6,Transit: Station/Elevated,Yes
1000106759,134,280 Park Avenue,117541.25,Office: Mixed-Use,Yes
1000106799,135,PE & K Renovation,5921.17,Core Learning Space: College/University,Yes
1000106828,136,Saint Vincent College Library,4954.05,Core Learning Space: College/University,Yes
1000106835,137,Yale Peabody Museum of Natural History,13099.32,Public Assembly: Other Assembly,Yes
1000106921,138,DEN Airport Concourse A West Expansion,45250.73,Airport: Terminal/Concourse,Yes
1000107162,139,William and Linda Frost Center,9816.13,Core Learning Space: College/University,Yes
1000107173,140,CONF,798.0,CONF,Yes
1000107660,141,Rane Culinary Science Center,13201.14,Core Learning Space: College/University,Yes
1000107702,142,Central Bank Center,35352.1,Public Assembly: Convention Center,Yes
1000107703,143,Pavilion at the Central Bank Center,5611.06,Public Assembly: Convention Center,Yes
1000108028,144,Southeast Community Center,4645.15,Public Assembly: Social/Meeting,Yes
1000108048,145,Dartmouth Anonymous Hall,3158.7,Core Learning Space: College/University,Yes
1000108083,146,Agincourt GO Station,847.0,Transit: Station/Underground,Yes
1000108087,147,UC Calhoun Hall,15410.29,Lodging: Dormitory,Yes
1000108108,148,LAX APM Maintenance & Storage Facility,8677.14,Transit: Maintenance/Storage,Yes
1000108110,149,210 Route 4 East,11891.58,Office: Mixed-Use,Yes
1000108133,150,CONF,4542.96,CONF,Yes
1000108153,151,Cheko'nien House,175946.7094,Lodging: Dormitory,Yes
1000108294,152,Kenyon College Oden Hall,4104.73,Core Learning Space: College/University,Yes
1000108878,153,Autumn Grove Lodge,7802.0,Lodging: Other lodging,Yes
1000109218,154,CONF,6941.15,CONF,Yes
1000109723,155,DMA Cyber,3824.07,Office: Government,Yes
1000110129,156,AEP Newark Service Center,5344.52,Office: Mixed-Use,Yes
1000110131,157,EGCC-Acute Mental Health Unit,836.13,Public Order and Safety: Other Public Order,Yes
1000110216,158,GRCC/ATC Addition No. 1,2077.31,Core Learning Space: College/University,Yes
1000110262,159,VCU STEM Building,15551.87,Core Learning Space: College/University,Yes
1000110302,160,CONF,5084.58,CONF,Yes
1000110444,161,Ball State University North Res. Hall 2,14373.12,Lodging: Dormitory,Yes
1000110904,162,SJSU Interdisciplinary Science Building,14433.5,Laboratory,Yes
1000111286,163,UCLA Botany Building Renovation,3469.93,Core Learning Space: College/University,Yes
1000111466,164,CONF,8129.01,CONF,Yes
1000111605,165,Renovation of Historic City Hall,4131.58,Office: Government,Yes
1000111662,166,Iowa City Public Works Phase 1,7924.07,Service: Vehicle Storage/Maintenance,Yes
1000111672,167,CONF,20914.0,CONF,Yes
1000112085,168,Shelo Nabel CN Queretaro,1025.46,Office: Mixed-Use,Yes
1000112243,169,ING Bank Turkey Headquarters,23608.14,Office: Financial,Yes
1000112295,170,York University SCS,10315.0,Core Learning Space: College/University,Yes
1000112312,171,Denver Water NTP Operations Building,576.0,Office: Administrative/Professional,Yes
1000112631,172,JM Family - Offices A & B,16362.26,Office: Administrative/Professional,Yes
1000112679,173,COTA Fields Avenue CNG Station,26495.38,Transit: Maintenance/Storage,Yes
1000112817,174,Jack Beyerl Residence Hall,12790.89,Lodging: Dormitory,Yes
1000112883,175,Terre dei Consoli - Club House Building,14176.0563,Service: Other Service,Yes
1000113225,176,CONF,33239.67,CONF,Yes
1000113372,177,VMI CPTF AQUATIC CENTER,5388.37,Other,Yes
1000113485,178,PorterFamily Indoor Performance Facility,8439.31,Other,Yes
1000114419,179,CONF,28071.0,CONF,Yes
1000114453,180,CONF,83256.84,CONF,Yes
1000114457,181,"Whatcom Vlg - 3 4 5 6, N O P Q",80173.99,Office: Mixed-Use,Yes
1000114924,182,CONF,13425.51,CONF,Yes
1000114974,183,W&M Sadler West Addition,5097.49,Public Assembly: Other Assembly,Yes
