Certification_Id,Project_Id,RatingSystem,PointsAchieved,CertLevel,CertDate
104,1000099638,LEED v4 BD+C: NC,51,Silver,2024-08-26
105,1000099673,LEED v4 BD+C: NC,44,Certified,2024-12-12
106,1000100234,LEED v4 BD+C: NC,56,Silver,2024-03-14
107,1000100546,LEED v4 BD+C: NC,46,Certified,2024-01-09
108,1000100613,LEED v4 BD+C: NC,84,Platinum,2024-05-10
109,1000101896,LEED v4 BD+C: NC,64,Gold,2024-11-11
110,1000103118,LEED v4 BD+C: NC,80,Platinum,2024-08-20
111,1000103264,LEED v4 BD+C: NC,51,Silver,2024-07-12
112,1000103365,LEED v4 BD+C: NC,64,Gold,2024-11-05
113,1000103869,LEED v4 BD+C: NC,62,Gold,2024-05-10
114,1000103925,LEED v4 BD+C: NC,53,Silver,2024-02-14
115,1000104109,LEED v4 BD+C: NC,61,Gold,2024-01-26
116,1000104125,LEED v4 BD+C: NC,61,Gold,2024-04-08
117,1000104142,LEED v4 BD+C: NC,52,Silver,2024-12-31
118,1000104206,LEED v4 BD+C: NC,56,Silver,2024-08-20
119,1000105074,LEED v4 BD+C: NC,43,Certified,2024-01-09
120,1000105198,LEED v4 BD+C: NC,52,Silver,2024-10-30
121,1000105226,LEED v4 BD+C: NC,62,Gold,2024-09-12
122,1000105276,LEED v4 BD+C: NC,68,Gold,2024-07-02
123,1000105304,LEED v4 BD+C: NC,65,Gold,2024-02-05
124,1000105372,LEED v4 BD+C: NC,64,Gold,2024-10-16
125,1000105401,LEED v4 BD+C: NC,57,Silver,2024-06-19
126,1000105461,LEED v4 BD+C: NC,61,Gold,2024-06-06
127,1000105781,LEED v4 BD+C: NC,59,Silver,2024-06-03
128,1000105885,LEED v4 BD+C: NC,63,Gold,2024-07-16
129,1000106028,LEED v4 BD+C: NC,59,Silver,2024-05-14
130,1000106369,LEED v4 BD+C: NC,47,Certified,2024-05-21
131,1000106432,LEED v4 BD+C: NC,40,Certified,2024-02-20
132,1000106487,LEED v4 BD+C: NC,40,Certified,2024-01-15
133,1000106506,LEED v4 BD+C: NC,61,Gold,2024-06-25
134,1000106759,LEED v4 O+M: EB,60,Gold,2024-09-10
135,1000106799,LEED v4 BD+C: NC,53,Silver,2024-03-14
136,1000106828,LEED v4 BD+C: NC,43,Certified,2024-06-14
137,1000106835,LEED v4 BD+C: NC,61,Gold,2024-07-29
138,1000106921,LEED v4 BD+C: NC,80,Platinum,2024-09-26
139,1000107162,LEED v4 BD+C: NC,68,Gold,2024-09-30
140,1000107173,LEED v4 BD+C: NC,41,Certified,2024-01-17
141,1000107660,LEED v4 BD+C: NC,50,Silver,2024-03-05
142,1000107702,LEED v4 BD+C: NC,52,Silver,2024-05-07
143,1000107703,LEED v4 BD+C: NC,48,Certified,2024-05-07
144,1000108028,LEED v4 BD+C: NC,71,Gold,2024-02-06
145,1000108048,LEED v4 BD+C: NC,72,Gold,2024-08-23
146,1000108083,LEED v4 BD+C: NC,63,Gold,2024-04-18
147,1000108087,LEED v4 BD+C: NC,55,Silver,2024-03-01
148,1000108108,LEED v4 BD+C: NC,84,Platinum,2024-11-26
149,1000108110,LEED v4 O+M: EB,57,Silver,2024-01-26
150,1000108133,LEED v4 BD+C: NC,40,Certified,2024-02-01
151,1000108153,LEED v4 BD+C: NC,61,Gold,2024-06-17
152,1000108294,LEED v4 BD+C: NC,53,Silver,2024-01-05
153,1000108878,LEED v4 BD+C: NC,51,Silver,2024-01-24
154,1000109218,LEED v4 BD+C: NC,60,Gold,2024-10-17
155,1000109723,LEED v4 BD+C: NC,50,Silver,2024-04-05
156,1000110129,LEED v4 BD+C: NC,40,Certified,2024-05-02
157,1000110131,LEED v4 BD+C: NC,54,Silver,2024-09-10
158,1000110216,LEED v4 BD+C: NC,51,Silver,2024-09-20
159,1000110262,LEED v4 BD+C: NC,60,Gold,2024-05-23
160,1000110302,LEED v4 BD+C: NC,50,Silver,2024-08-30
161,1000110444,LEED v4 BD+C: NC,50,Silver,2024-09-11
162,1000110904,LEED v4 BD+C: NC,69,Gold,2024-05-22
163,1000111286,LEED v4 BD+C: NC,80,Platinum,2024-10-23
164,1000111466,LEED v4 BD+C: NC,60,Gold,2024-03-19
165,1000111605,LEED v4 BD+C: NC,57,Silver,2024-01-26
166,1000111662,LEED v4 BD+C: NC,60,Gold,2024-01-23
167,1000111672,LEED v4 BD+C: NC,52,Silver,2024-06-10
168,1000112085,LEED v4 BD+C: NC,53,Silver,2024-06-05
169,1000112243,LEED v4.1 O+M: EB,64,Gold,2024-03-22
170,1000112295,LEED v4 BD+C: NC,62,Gold,2024-02-12
171,1000112312,LEED v4 BD+C: NC,65,Gold,2024-04-24
172,1000112631,LEED v4 BD+C: NC,72,Gold,2024-07-09
173,1000112679,LEED v4 BD+C: NC,44,Certified,2024-07-01
174,1000112817,LEED v4 BD+C: NC,50,Silver,2024-02-19
175,1000112883,LEED v4 BD+C: NC,44,Certified,2024-02-15
176,1000113225,LEED v4 BD+C: NC,85,Platinum,2024-07-17
177,1000113372,LEED v4 BD+C: NC,44,Certified,2024-02-08
178,1000113485,LEED v4 BD+C: NC,54,Silver,2024-06-27
179,1000114419,LEED v4 BD+C: NC,61,Gold,2024-07-26
